,,44.83333333,34.70833333,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolf Blass Merlot 2021,Arcadian Shiraz 2023,Wolf Blass Chardonnay '23,Arcadian Sauvignon Blanc,,,,,,,,,,,,,Bisol Belstar - Prosecco Brut,,,,,,,
Timestamp,Staff Name,Asahi,Singha,Hoegaarden,Craft beer (various brands),Heineken,Chatri IPA,Absolute Vodka,Bacardi Rum,Chita Whiskey,Regency Whiskey,Hibiki Whiskey,Kakubin Whiskey,Black Label Whiskey,Chivas Whiskey,Tequila, Expensive Red wine,Expensive White wine,Coke Zero,Coke Original,Sprite,Tonic water (Schweppes),Soda water (Singha),Still water,Gatorade - Blue,Gatorade - Lime,Zuza (Lime),Ice,Garbage bags,POS paper rolls,Straws,Paper towels,Red Bull,Gin (Bombay Sapphire),Popcorn,Nuts,Cash (only Bills),Golf gloves,Golf Balls (only Inventory),Festilia (Lime),Festilia (Orange),Red Wine (Middle Expensive),Red Wine (Least Expensive),White wine (Middle Expensive),White wine (Least Expensive),Gin (House Gin),Vodka (House Vodka),Cleaning Supply (Floor Cleaner),Cleaning Supply (General Cleaner),Cleaning Supply (Handwash),Zuza (Passion Fruit),Zuza (Lychee),Golf Tees (Rubber),Napkins (normal),Napkins (wet),Paper Plates,Fork/Knives/Spoons,Sparkling Wine,Coke Regular (Big Bottle),Coke Zero (Big Bottle),Sprite (Big Bottle),Water (Big Bottle),Tea Bags,Cleaning Supply (Dishwashing Liquid),Credit Card paper rolls
,Reorder from,Tops,Tops,Tops,,Tops,Tops,IWS,IWS,TBD,IWS,TBD,TBD,IWS,IWS,IWS,IWS,IWS,Makro,Makro,Makro,Makro,Makro,Makro,Makro,Makro,Zuza,Ice Supplier,Makro,Shopee,Makro,Makro,Makro,IWS,Shopee,Shopee,,,,Festilia,Festilia,IWS,IWS,IWS,IWS,IWS,IWS,Makro,Makro,Makro,Zuza,Zuza,Bravo,Makro,Makro,Makro,Makro,IWS,Makro,Makro,Makro,Makro,Makro,Makro,KBiz
5/25/2025 9:45:20,Dolly,89,91,33,0,24,72,4.5,1.8,1.3,0,0.8,1.8,2,0.4,2.1,2,2,36,101,19,23,97,391,26,33,10,Enough for this week,61,224,Plenty of stock,Plenty of stock,5,1.4,20,3,"$11,797","The Total Amount is 232
size 18 = 6, size 19 = 5, size 20 = 39,
size 21 = 14, size 22 = 48, size 23 = 44, size 24 = 39, size 25 = 37",36,16,26,2,2,3,1,3.1,2.5,Plenty of stock,Plenty of stock,Plenty of stock,11,6,11,Plenty of stock,Need to order,Plenty of stock,Plenty of stock,0,7,12.8,1.5,19.4,33,Plenty of stock,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notification Level,,40,50,12,x,20,12,1,1,1,x,0.5,1.5,1,x,x,1,1,20,20,10,10,15,75,10,10,10,x,15,20,Need to order,Need to order,2,0.5,6,1,30000,x,50,6,6,2,2,2,2,2,2,Need to order,Need to order,Need to order,5,5,4,Need to order,Need to order,Need to order,Need to order,1,1,1,1,1,6,Need to order,20
Re-order needed?,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,YES,,,YES,YES,,YES,,,,,,,,,,YES,,,YES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reorder message,"
Zuza (Lime) levels are low, only 10 in stock. Re-order from Zuza.
Golf Balls (only Inventory) levels are low, only 36 in stock. Re-order from .
Red Wine (Middle Expensive) levels are low, only 2 in stock. Re-order from IWS.
Red Wine (Least Expensive) levels are low, only 2 in stock. Re-order from IWS.
White wine (Least Expensive) levels are low, only 1 in stock. Re-order from IWS.
Napkins (wet) levels are low, only Need to order in stock. Re-order from Makro.
Sparkling Wine levels are low, only 0 in stock. Re-order from IWS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,